filename,question,options,answer,category,id
BNATURE_48.jpg,ছবির ফলটির নাম কি ?,"['পেঁপে', 'আম', 'কাঠাল', 'পেয়ারা']",পেঁপে,Food,P6BN48
BNATURE_4894.jpg,ছবিতে দূরে কাকে দাঁড়িয়ে থাকতে দেখা যাচ্ছে?,"['একজন কৃষক', 'একজন রাখাল', 'একজন পর্যটক', 'একজন পথচারী']",একজন কৃষক,Nature,P6BN4894
BNATURE_4818.jpg,ছবিতে কোন ধরনের কাজ করতে দেখা যাচ্ছে?,"['জমিতে হাল চাষ করা', 'ফসল কাটা', 'মাছ ধরা', 'পরিবহন']",জমিতে হাল চাষ করা,Social Life,P6BN4818
BNATURE_4839.jpg,ছবিতে পাখিটি কোথায় বসে আছে?,"['বাঁশে', 'গাছে', 'হাতে', 'মাথায়']",বাঁশে,Nature,P6BN4839
BNATURE_4841.jpg,ছবিতে জেলে কি দিয়ে মাছ ধরছেন?,"['জাল', 'বড়শি', 'তেলাপিয়া', 'চাই']",জাল,Social Life,P6BN4841
BNATURE_49.jpg,ছবিতে কোন শস্যের ক্ষেত দেখানো হয়েছে?,"['ধান', 'গম', 'পাট', 'ভুট্টা']",ধান,Nature,P6BN49
BNATURE_4910.jpg,ছবিতে কি কি আছে ?,"['পাখি , মানুষ ,সাইকেল', 'আকাশ, মোটরবাইক, মানুষ', 'মানুষ ও গাড়ি', 'পাখি ও আকাশ']","পাখি , মানুষ ,সাইকেল",Nature,P6BN4910
BNATURE_4911.jpg,ছবিতে কোন পরিবহনটি দেখা যাচ্ছে?,"['রিকশা', 'ঠেলাগাড়ি', 'বাস', 'টেম্পো']",রিকশা,Nature,P6BN4911
BNATURE_4973.jpg,ছবিতে কোন ধরনের জিনিসপত্র দেখা যাচ্ছে?,"['আধুনিক স্যুভেনিয়ার', 'লোকশিল্প ও হস্তশিল্প', 'গয়না', 'পোশাক']",লোকশিল্প ও হস্তশিল্প।,Arts & History,P6BN4973
BNATURE_5.jpg,মেয়েগুলো কি কাপড় পরেছে ?,"['থ্রি পিছ', 'শাড়ি', 'শার্ট প্যান্ট', 'লেহেঙ্গা']",থ্রি পিছ,Clothing & Fashion,P6BN5
BNATURE_50.jpg,ছবিতে কোন ধরনের দৃশ্য দেখানো হয়েছে?,"['একটি শহরের দৃশ্য', 'একটি গ্রামের দৃশ্য', 'একটি বনের দৃশ্য', 'একটি নদীর দৃশ্য']",একটি গ্রামের দৃশ্য।,Nature,P6BN50
